,Unnamed: 0,Activity:,Cause:,Country:,Function:,Location:,Region:,Year:
0,0,"Construction, commissioning, decommissioning",Pressure release,NIGERIA,Construction,Onshore,Africa,2016
1,1,"Maintenance, inspection, testing",Explosions or burns,ANGOLA,Production,Offshore,Africa,2011
2,2,"Construction, commissioning, decommissioning",Pressure release,USA,Construction,Onshore,North America,2013
3,3,Transport - Land,Struck by,CHAD,Unspecified,Onshore,Africa,2017
4,4,"Maintenance, inspection, testing",Other,AUSTRALIA,Production,Onshore,Asia/Australasia,2017
5,5,Production operations,Pressure release,YEMEN,Production,Offshore,Middle East,2015
7,7,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",USA,Drilling,Onshore,North America,2014
8,8,"Lifting, crane, rigging, deck operations",Struck by,NEW ZEALAND,Exploration,Offshore,Asia/Australasia,2011
9,9,Transport - Land,"Caught in, under or between (excl. dropped objects)",ROMANIA,Drilling,Onshore,Europe,2017
11,11,Transport - Land,Struck by,PAKISTAN,Unspecified,Onshore,Asia/Australasia,2010
12,12,"Lifting, crane, rigging, deck operations",Struck by,RUSSIA,Drilling,Onshore,Russia & Central Asia,2013
13,13,"Drilling, workover, well services",Confined space,IRAQ,Drilling,Onshore,Middle East,2014
14,14,"Maintenance, inspection, testing",Confined space,QATAR,Production,Onshore,Middle East,2011
15,15,Transport - Land,"Caught in, under or between (excl. dropped objects)",USA,Construction,Onshore,North America,2013
16,16,"Construction, commissioning, decommissioning",Struck by,KUWAIT,Construction,Onshore,Middle East,2015
17,17,"Drilling, workover, well services",Struck by,UK,Production,Offshore,Europe,2016
18,18,"Lifting, crane, rigging, deck operations",Struck by,NEW ZEALAND,Exploration,Offshore,Asia/Australasia,2011
20,20,"Drilling, workover, well services",Falls from height,UAE,Production,Onshore,Middle East,2013
21,21,Transport - Land,Struck by,QATAR,Construction,Onshore,Middle East,2012
22,22,Production operations,Explosions or burns,UAE,Production,Onshore,Middle East,2010
23,23,Production operations,Pressure release,GABON,Production,Onshore,Africa,2013
24,24,Transport - Land,Struck by,YEMEN,Construction,Onshore,Middle East,2010
25,25,Unspecified - other,Struck by,UAE,Production,Offshore,Middle East,2009
26,26,Transport - Land,"Caught in, under or between (excl. dropped objects)",PAKISTAN,Production,Onshore,Asia/Australasia,2016
27,27,Production operations,"Exposure noise, chemical, biological, vibration",USA,Production,Onshore,North America,2016
28,28,"Drilling, workover, well services",Pressure release,UAE,Production,Onshore,Middle East,2013
31,31,"Lifting, crane, rigging, deck operations",Struck by,GREENLAND,Drilling,Offshore,Europe,2010
32,32,"Drilling, workover, well services","Exposure noise, chemical, biological, vibration",GREENLAND,Drilling,Offshore,Europe,2010
33,33,Transport - Land,Struck by,BANGLADESH,Production,Onshore,Asia/Australasia,2012
34,34,"Maintenance, inspection, testing","Exposure noise, chemical, biological, vibration",TUNISIA,Production,Onshore,Africa,2012
35,35,"Drilling, workover, well services",Struck by,ARGENTINA,Drilling,Onshore,South & Central America,2015
36,36,Production operations,Pressure release,ECUADOR,Production,Onshore,South & Central America,2017
37,37,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",ARGENTINA,Drilling,Onshore,South & Central America,2017
38,38,Production operations,Explosions or burns,UAE,Production,Onshore,Middle East,2010
39,39,Transport - Land,Struck by,CHAD,Unspecified,Onshore,Africa,2017
40,40,Transport - Air,Other,YEMEN,Production,Onshore,Middle East,2013
41,41,Seismic / survey operations,Assault or violent act,TURKEY,Exploration,Onshore,Middle East,2012
43,43,"Drilling, workover, well services",Struck by,ANGOLA,Drilling,Offshore,Africa,2013
44,44,Transport - Land,Struck by,HUNGARY,Production,Onshore,Europe,2013
45,45,"Lifting, crane, rigging, deck operations",Struck by,GREENLAND,Drilling,Offshore,Europe,2010
46,46,Unspecified - other,Explosions or burns,AUSTRALIA,Production,Onshore,Asia/Australasia,2010
47,47,"Drilling, workover, well services",Struck by,ALGERIA,Drilling,Onshore,Africa,2012
48,48,Unspecified - other,Struck by,NORWAY,Drilling,Offshore,Europe,2009
49,49,"Maintenance, inspection, testing",Confined space,QATAR,Production,Onshore,Middle East,2012
50,50,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",CHINA,Production,Offshore,Asia/Australasia,2012
51,51,"Construction, commissioning, decommissioning","Caught in, under or between (excl. dropped objects)",OMAN,Construction,Onshore,Middle East,2016
52,52,"Lifting, crane, rigging, deck operations",Struck by,RUSSIA,Drilling,Offshore,Russia & Central Asia,2016
53,53,Transport - Land,Struck by,VENEZUELA,Production,Onshore,South & Central America,2000
54,54,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",USA,Production,Onshore,North America,2016
55,55,Production operations,Pressure release,ECUADOR,Production,Onshore,South & Central America,2017
56,56,Production operations,Other,UK,Production,Onshore,Europe,2018
57,57,"Maintenance, inspection, testing",Other,QATAR,Production,Onshore,Middle East,2012
58,58,"Transport - Water, incl. marine activity","Caught in, under or between (excl. dropped objects)",TURKMENISTAN,Drilling,Offshore,Russia & Central Asia,2009
59,59,Production operations,Pressure release,INDIA,Production,Offshore,Asia/Australasia,2012
60,60,"Lifting, crane, rigging, deck operations",Struck by,QATAR,Production,Onshore,Middle East,2012
61,61,"Drilling, workover, well services",Struck by,GHANA,Drilling,Offshore,Africa,2012
62,62,"Drilling, workover, well services",Struck by,MAURITANIA,Drilling,Offshore,Africa,2014
63,63,"Drilling, workover, well services",Struck by,USA,Production,Onshore,North America,2017
64,64,"Construction, commissioning, decommissioning",Exposure electrical,QATAR,Construction,Onshore,Middle East,2012
65,65,"Transport - Water, incl. marine activity",Struck by,UAE,Production,Offshore,Middle East,2010
66,66,Production operations,Struck by,YEMEN,Production,Onshore,Middle East,2014
67,67,"Drilling, workover, well services",Struck by,USA,Drilling,Onshore,North America,2014
68,68,"Drilling, workover, well services",Pressure release,USA,Drilling,Onshore,North America,2017
69,69,Transport - Land,Struck by,UAE,Unspecified,Onshore,Middle East,2010
71,71,Unspecified - other,Other,QATAR,Production,Offshore,Middle East,2011
73,73,"Drilling, workover, well services",Struck by,UAE,Drilling,Onshore,Middle East,2012
74,74,Transport - Land,Struck by,RUSSIA,Exploration,Onshore,Russia & Central Asia,2013
76,76,"Lifting, crane, rigging, deck operations",Struck by,INDONESIA,Production,Onshore,Asia/Australasia,2015
77,77,Production operations,Confined space,ECUADOR,Production,Onshore,South & Central America,2013
78,78,Production operations,Pressure release,AUSTRALIA,Production,Onshore,Asia/Australasia,2013
79,79,"Drilling, workover, well services",Struck by,USA,Drilling,Onshore,North America,2013
80,80,Production operations,Confined space,ANGOLA,Production,Offshore,Africa,2016
82,82,"Drilling, workover, well services",Falls from height,THAILAND,Drilling,Offshore,Asia/Australasia,2014
84,84,Production operations,Other,UK,Production,Onshore,Europe,2018
85,85,Production operations,Explosions or burns,UAE,Production,Onshore,Middle East,2010
86,86,Production operations,Struck by,NEW ZEALAND,Production,Offshore,Asia/Australasia,2016
87,87,Transport - Air,Other,DRC - Democratic Republic of the Congo (formerly Zaire),Production,Onshore,Africa,2011
88,88,"Drilling, workover, well services",Struck by,ETHIOPIA,Drilling,Onshore,Africa,2014
89,89,"Drilling, workover, well services",Struck by,GHANA,Drilling,Offshore,Africa,2012
90,90,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",EGYPT,Drilling,Offshore,Africa,2014
91,91,Transport - Land,Struck by,QATAR,Construction,Onshore,Middle East,2012
92,92,Production operations,Pressure release,AUSTRALIA,Production,Offshore,Asia/Australasia,2015
93,93,Transport - Land,Struck by,BOLIVIA,Construction,Onshore,South & Central America,2011
94,94,"Drilling, workover, well services",Struck by,INDONESIA,Drilling,Onshore,Asia/Australasia,2014
95,95,Production operations,"Exposure noise, chemical, biological, vibration",CANADA,Production,Offshore,North America,2016
96,96,Production operations,Explosions or burns,GABON,Production,Offshore,Africa,2013
97,97,"Maintenance, inspection, testing",Struck by,INDIA,Production,Offshore,Asia/Australasia,2012
99,99,"Maintenance, inspection, testing",Pressure release,TUNISIA,Production,Offshore,Africa,2013
100,100,"Construction, commissioning, decommissioning","Exposure noise, chemical, biological, vibration",AUSTRALIA,Construction,Offshore,Asia/Australasia,2009
101,101,"Construction, commissioning, decommissioning",Pressure release,AUSTRALIA,Construction,Onshore,Asia/Australasia,2012
102,102,Transport - Land,"Caught in, under or between (excl. dropped objects)",CROATIA,Production,Onshore,Europe,2014
103,103,Production operations,Assault or violent act,NIGERIA,Unspecified,Onshore,Africa,2016
104,104,"Transport - Water, incl. marine activity",Struck by,UK,Drilling,Offshore,Europe,2013
105,105,"Maintenance, inspection, testing",Pressure release,QATAR,Production,Onshore,Middle East,2010
106,106,"Lifting, crane, rigging, deck operations",Struck by,QATAR,Construction,Onshore,Middle East,2012
107,107,Transport - Land,Explosions or burns,YEMEN,Unspecified,Onshore,Middle East,2012
108,108,"Lifting, crane, rigging, deck operations",Struck by,USA,Drilling,Onshore,North America,2017
109,109,"Drilling, workover, well services",Struck by,IRAQ,Exploration,Onshore,Middle East,2015
110,110,Transport - Air,"Exposure noise, chemical, biological, vibration",AUSTRALIA,Drilling,Offshore,Asia/Australasia,2009
111,111,"Drilling, workover, well services",Struck by,KENYA,Exploration,Onshore,Africa,2012
112,112,Production operations,Explosions or burns,QATAR,Production,Offshore,Middle East,2017
113,113,"Drilling, workover, well services",Falls from height,RUSSIA,Drilling,Onshore,Russia & Central Asia,2012
114,114,Production operations,Assault or violent act,YEMEN,Unspecified,Onshore,Middle East,2012
115,115,"Drilling, workover, well services",Pressure release,INDONESIA,Drilling,Offshore,Asia/Australasia,2010
116,116,Transport - Air,Other,PAPUA NEW GUINEA,Unspecified,Onshore,Asia/Australasia,2009
117,117,"Drilling, workover, well services",Falls from height,QATAR,Production,Offshore,Middle East,2017
118,118,Production operations,Pressure release,QATAR,Production,Onshore,Middle East,2010
119,119,"Lifting, crane, rigging, deck operations",Struck by,NIGERIA,Production,Onshore,Africa,2017
120,120,"Drilling, workover, well services",Pressure release,UK,Drilling,Offshore,Europe,2012
121,121,"Drilling, workover, well services",Pressure release,INDONESIA,Drilling,Onshore,Asia/Australasia,2014
122,122,Transport - Land,Struck by,INDIA,Construction,Onshore,Asia/Australasia,2010
124,124,"Transport - Water, incl. marine activity",Struck by,NETHERLANDS,Production,Offshore,Europe,2009
125,125,"Diving, subsea, ROV","Exposure noise, chemical, biological, vibration",UK,Production,Offshore,Europe,2016
126,126,Production operations,Other,YEMEN,Production,Offshore,Middle East,2015
127,127,"Office, warehouse, accommodation, catering",Assault or violent act,CROATIA,Drilling,Onshore,Europe,2013
129,129,Unspecified - other,Falls from height,AUSTRIA,Unspecified,Onshore,Europe,2011
130,130,"Drilling, workover, well services",Pressure release,USA,Drilling,Onshore,North America,2016
131,131,"Drilling, workover, well services",Pressure release,USA,Drilling,Offshore,North America,2012
132,132,"Drilling, workover, well services",Pressure release,IRAQ,Exploration,Onshore,Middle East,2011
133,133,Production operations,Pressure release,THAILAND,Unspecified,Offshore,Asia/Australasia,2014
134,134,Transport - Land,Exposure electrical,ARGENTINA,Production,Onshore,South & Central America,2017
135,135,Production operations,Pressure release,AUSTRALIA,Production,Onshore,Asia/Australasia,2013
136,136,Unspecified - other,Explosions or burns,AUSTRALIA,Production,Onshore,Asia/Australasia,2010
138,138,"Lifting, crane, rigging, deck operations",Struck by,USA,Drilling,Offshore,North America,2017
140,140,Transport - Land,Struck by,AUSTRALIA,Production,Onshore,Asia/Australasia,2014
141,141,Production operations,Struck by,QATAR,Production,Onshore,Middle East,2012
142,142,"Maintenance, inspection, testing",Exposure electrical,AUSTRALIA,Production,Onshore,Asia/Australasia,2015
143,143,"Drilling, workover, well services",Other,BRAZIL,Drilling,Offshore,South & Central America,2017
144,144,Production operations,Struck by,QATAR,Production,Onshore,Middle East,2013
145,145,"Transport - Water, incl. marine activity","Caught in, under or between (excl. dropped objects)",GREENLAND,Drilling,Offshore,Europe,2010
146,146,"Drilling, workover, well services","Caught in, under or between (excl. dropped objects)",USA,Drilling,Onshore,North America,2013
147,147,"Drilling, workover, well services",Pressure release,USA,Drilling,Onshore,North America,2013
148,148,"Maintenance, inspection, testing",Struck by,QATAR,Production,Onshore,Middle East,2010
150,150,"Maintenance, inspection, testing",Struck by,UK,Production,Offshore,Europe,2013
151,151,Transport - Land,Struck by,ETHIOPIA,Exploration,Onshore,Africa,2012
152,152,Transport - Land,Struck by,COLOMBIA,Drilling,Onshore,South & Central America,2010
153,153,Production operations,Struck by,YEMEN,Production,Onshore,Middle East,2014
154,154,Production operations,Falls from height,QATAR,Production,Onshore,Middle East,2016
155,155,Seismic / survey operations,Struck by,GREENLAND,Exploration,Offshore,Europe,2010
156,156,Transport - Land,"Caught in, under or between (excl. dropped objects)",BOLIVIA,Construction,Onshore,South & Central America,2015
157,157,Production operations,Struck by,YEMEN,Production,Onshore,Middle East,2014
158,158,"Maintenance, inspection, testing",Exposure electrical,AUSTRALIA,Production,Onshore,Asia/Australasia,2014
159,159,"Lifting, crane, rigging, deck operations","Caught in, under or between (excl. dropped objects)",CANADA,Production,Onshore,North America,2017
160,160,"Construction, commissioning, decommissioning",Struck by,QATAR,Construction,Onshore,Middle East,2012
161,161,"Construction, commissioning, decommissioning",Struck by,QATAR,Construction,Onshore,Middle East,2014
162,162,"Construction, commissioning, decommissioning",Struck by,QATAR,Construction,Onshore,Middle East,2012
163,163,"Drilling, workover, well services","Caught in, under or between (excl. dropped objects)",RUSSIA,Drilling,Onshore,Russia & Central Asia,2012
164,164,"Maintenance, inspection, testing",Other,YEMEN,Production,Onshore,Middle East,2014
165,165,Production operations,Struck by,AUSTRALIA,Production,Onshore,Asia/Australasia,2013
166,166,Production operations,Pressure release,YEMEN,Production,Onshore,Middle East,2010
167,167,"Drilling, workover, well services",Struck by,USA,Drilling,Onshore,North America,2013
168,168,"Lifting, crane, rigging, deck operations",Struck by,USA,Production,Onshore,North America,2015
169,169,"Construction, commissioning, decommissioning",Pressure release,UAE,Production,Offshore,Middle East,2010
170,170,"Maintenance, inspection, testing","Cut, puncture, scrape",UAE,Production,Onshore,Middle East,2017
171,171,"Drilling, workover, well services",Pressure release,AUSTRALIA,Drilling,Onshore,Asia/Australasia,2014
172,172,"Construction, commissioning, decommissioning","Caught in, under or between (excl. dropped objects)",AUSTRALIA,Construction,Onshore,Asia/Australasia,2012
173,173,"Lifting, crane, rigging, deck operations",Falls from height,UAE,Drilling,Offshore,Middle East,2010
174,174,"Maintenance, inspection, testing","Exposure noise, chemical, biological, vibration",AUSTRALIA,Production,Offshore,Asia/Australasia,2009
175,175,"Drilling, workover, well services",Pressure release,AUSTRIA,Drilling,Onshore,Europe,2014
176,176,Transport - Land,"Caught in, under or between (excl. dropped objects)",IRAQ,Construction,Onshore,Middle East,2012
177,177,Production operations,Falls from height,YEMEN,Production,Offshore,Middle East,2015
178,178,"Transport - Water, incl. marine activity","Caught in, under or between (excl. dropped objects)",PAPUA NEW GUINEA,Production,Offshore,Asia/Australasia,2015
179,179,"Office, warehouse, accommodation, catering",Explosions or burns,PAKISTAN,Production,Onshore,Asia/Australasia,2014
180,180,"Drilling, workover, well services",Struck by,ANGOLA,Drilling,Offshore,Africa,2013
182,182,"Office, warehouse, accommodation, catering","Caught in, under or between (excl. dropped objects)",TANZANIA,Drilling,Onshore,Africa,2012
183,183,"Drilling, workover, well services",Struck by,USA,Production,Onshore,North America,2017
184,184,"Lifting, crane, rigging, deck operations",Struck by,CANADA,Production,Offshore,North America,2016
185,185,Production operations,"Exposure noise, chemical, biological, vibration",ECUADOR,Production,Onshore,South & Central America,2017
187,187,"Drilling, workover, well services",Struck by,GHANA,Drilling,Offshore,Africa,2012
188,188,"Drilling, workover, well services",Other,TRINIDAD & TOBAGO,Drilling,Offshore,South & Central America,2013
189,189,Transport - Land,Struck by,USA,Production,Onshore,North America,2015
190,190,"Maintenance, inspection, testing",Falls from height,USA,Construction,Onshore,North America,2017
191,191,Production operations,Struck by,QATAR,Production,Onshore,Middle East,2017
192,192,"Office, warehouse, accommodation, catering",Explosions or burns,KENYA,Drilling,Onshore,Africa,2012
193,193,"Drilling, workover, well services",Falls from height,IRAQ,Drilling,Onshore,Middle East,2014
194,194,"Drilling, workover, well services","Exposure noise, chemical, biological, vibration",MEXICO,Drilling,Offshore,North America,2012
195,195,Transport - Land,Struck by,CHAD,Unspecified,Onshore,Africa,2017
196,196,"Construction, commissioning, decommissioning",Struck by,PERU,Construction,Onshore,South & Central America,2012
197,197,"Lifting, crane, rigging, deck operations",Struck by,QATAR,Construction,Onshore,Middle East,2012
198,198,"Construction, commissioning, decommissioning",Explosions or burns,COLOMBIA,Construction,Onshore,South & Central America,2017
199,199,"Drilling, workover, well services",Struck by,UAE,Drilling,Onshore,Middle East,2010
200,200,"Lifting, crane, rigging, deck operations",Struck by,KUWAIT,Unspecified,Onshore,Middle East,2016
202,202,"Office, warehouse, accommodation, catering",Exposure electrical,GHANA,Production,Onshore,Africa,2014
203,203,"Diving, subsea, ROV","Water related, drowning",PAPUA NEW GUINEA,Production,Offshore,Asia/Australasia,2015
204,204,Transport - Land,Struck by,BOLIVIA,Construction,Onshore,South & Central America,2011
205,205,"Drilling, workover, well services",Struck by,KENYA,Drilling,Onshore,Africa,2012
206,206,"Lifting, crane, rigging, deck operations",Struck by,NORWAY,Drilling,Offshore,Europe,2017
207,207,"Lifting, crane, rigging, deck operations",Struck by,QATAR,Production,Offshore,Middle East,2012
208,208,"Construction, commissioning, decommissioning",Struck by,INDONESIA,Unspecified,Onshore,Asia/Australasia,2014
209,209,"Maintenance, inspection, testing",Explosions or burns,YEMEN,Production,Onshore,Middle East,2012
210,210,"Drilling, workover, well services",Struck by,ARGENTINA,Drilling,Onshore,South & Central America,2014
211,211,"Lifting, crane, rigging, deck operations",Struck by,KUWAIT,Drilling,Onshore,Middle East,2017
212,212,"Construction, commissioning, decommissioning",Struck by,NETHERLANDS,Construction,Onshore,Europe,2017
213,213,"Office, warehouse, accommodation, catering",Struck by,QATAR,Construction,Onshore,Middle East,2012
